#{"t_start": 1679442213.4733348, "env_id": null}
r,l,t,ruined grasses
0,120,0.468795,6
0,120,0.85945,31
0,120,1.250399,42
0,120,1.640759,35
0,120,2.031414,32
1,92,2.343937,26
1,69,2.57833,23
0,120,3.000237,20
0,120,3.406518,26
0,120,3.828425,36
0,120,4.251473,16
1,110,4.626502,28
0,120,5.048409,15
0,120,5.470315,29
0,120,5.893363,29
0,120,6.31527,24
0,120,6.753058,27
0,120,9.207324,18
0,120,9.615569,39
0,120,10.023183,18
0,120,10.429485,25
1,80,10.712173,29
0,120,11.134079,41
1,56,11.337274,17
0,120,11.759126,26
0,120,12.181035,20
1,90,12.493561,44
0,120,12.916968,17
0,120,13.340469,16
0,120,13.777953,31
1,50,13.949836,17
0,120,14.387429,25
0,120,14.809322,15
0,120,15.248245,41
0,120,15.686639,42
1,79,15.967911,33
1,56,16.171051,21
1,66,18.439638,21
1,82,18.720918,30
1,112,19.097089,35
1,84,19.393986,21
0,120,19.815893,24
1,74,20.097164,20
1,99,20.487819,31
1,36,20.629721,20
0,120,21.053313,43
1,99,21.397089,32
1,81,21.662734,16
0,120,22.069015,34
1,64,22.28778,27
1,53,22.475295,27
1,63,22.694062,21
1,91,23.022212,30
1,58,23.226484,30
1,94,23.554634,24
1,102,23.914036,33
1,80,24.195308,31
1,104,24.601914,27
1,71,24.883117,20
1,82,25.164439,19
1,70,25.414581,21
0,120,27.901366,22
1,53,28.073563,15
1,99,28.386897,33
1,89,28.683794,30
1,39,28.840056,21
1,100,29.199458,30
1,54,29.386972,30
1,53,29.559117,19
1,71,29.793555,26
1,59,30.027646,29
1,106,30.495318,29
1,74,30.871742,16
1,76,31.153012,24
1,86,31.437521,22
1,75,31.671915,32
1,60,31.875054,20
1,69,32.094071,29
1,46,32.250083,16
1,42,32.375093,13
1,40,32.515728,20
1,29,32.610008,20
1,47,32.766004,16
1,36,32.891109,22
1,39,33.015766,17
1,77,33.281706,26
1,48,33.437664,27
1,93,33.767201,31
1,45,33.925195,21
1,54,34.112447,13
1,74,34.362745,26
1,34,34.487475,12
1,49,34.659676,12
1,73,34.909695,25
1,30,37.021438,13
1,40,37.162073,23
1,34,37.271456,21
1,25,37.365214,12
1,44,37.505849,24
1,65,37.724615,17
1,53,37.927756,25
1,46,38.130897,23
1,63,38.396541,28
1,44,38.554366,12
1,30,38.663749,9
1,68,38.882516,19
1,60,39.101283,20
1,55,39.288797,19
1,30,39.382554,15
1,30,39.491936,12
1,45,39.632573,18
1,45,39.788835,23
1,44,39.930705,11
1,42,40.07134,19
1,42,40.227602,16
1,64,40.446368,27
1,70,40.682126,27
1,56,40.885266,22
1,40,41.025902,8
1,59,41.230268,26
1,29,41.324025,15
1,64,41.558418,21
1,47,41.714679,26
1,44,41.870941,24
1,51,42.058456,18
1,42,42.199091,13
1,53,42.386605,18
1,45,42.54407,18
1,44,42.700332,24
1,46,42.872221,25
1,31,42.981604,11
1,63,43.20037,26
1,35,43.32538,19
1,53,43.512894,28
1,49,43.684782,13
1,46,43.85667,23
1,45,44.014128,20
1,64,46.249838,25
1,29,46.343596,19
1,35,46.468873,18
1,30,46.562676,17
1,35,46.689094,20
1,34,46.79848,19
1,28,46.892281,11
1,44,47.048498,20
1,34,47.173509,8
1,46,47.329823,21
1,39,47.454969,25
1,45,47.611032,20
1,34,47.736053,12
1,36,47.861053,15
1,35,47.970443,21
1,47,48.143837,24
1,33,48.253175,10
1,49,48.425175,18
1,73,48.67508,20
1,41,48.831347,25
1,38,48.957785,19
1,35,49.082803,20
1,25,49.160899,15
1,39,49.301523,21
1,30,49.412383,19
1,32,49.521805,22
1,43,49.678204,21
1,33,49.787407,14
1,25,49.881171,16
1,52,50.068721,22
1,43,50.224949,20
1,31,50.334332,15
1,67,50.568789,32
1,87,50.867096,26
1,46,51.039193,21
1,49,51.210876,23
1,59,51.414176,26
1,37,51.554788,20
1,38,51.695297,23
1,39,51.835922,15
1,42,51.976542,17
1,31,52.087136,14
1,33,52.212402,14
1,29,52.306151,19
1,36,52.446852,11
1,33,52.556202,20
1,44,52.71244,21
1,23,52.806197,15
1,33,52.915581,16
1,28,53.024962,14
1,21,53.102838,16
1,42,53.259362,14
1,23,53.337484,11
1,71,55.621346,28
1,31,55.73073,16
1,53,55.918244,21
1,28,56.012001,17
1,29,56.105758,15
1,26,56.185107,15
1,50,56.356996,24
1,41,56.497631,17
1,38,56.638267,22
1,37,56.763276,17
1,29,56.857033,17
1,37,56.982043,18
1,34,57.107052,12
1,26,57.200809,18
1,21,57.263314,10
1,54,57.450828,18
1,30,57.561418,17
1,24,57.639549,8
1,29,57.748932,11
1,38,57.889568,20
1,27,57.983325,16
1,32,58.092708,20
1,56,58.280222,18
1,26,58.373979,18
1,23,58.45211,11
1,33,58.57712,9
1,36,58.702129,12
1,66,58.93773,13
1,26,59.031487,15
1,35,59.156497,19
1,38,59.281506,17
1,35,59.406516,16
1,40,59.547151,18
1,41,59.704615,20
1,29,59.798372,20
1,31,59.907755,8
1,28,60.017138,17
1,33,60.126522,14
1,31,60.235905,16
1,22,60.315247,13
1,42,60.471508,19
1,27,60.565265,10
1,27,60.659023,14
1,52,60.846537,18
1,30,60.95592,15
1,28,61.049677,19
1,22,61.127808,11
1,26,61.221565,15
1,28,61.330948,13
1,32,61.440332,20
1,21,61.518463,12
1,24,61.596594,13
1,18,61.660304,14
1,31,61.785313,16
1,46,61.941575,23
1,40,62.097837,21
1,24,62.175968,5
1,33,62.300977,4
1,50,62.488492,22
1,28,62.582248,4
1,47,64.778496,20
1,37,64.903802,22
1,102,65.247545,33
1,42,65.388239,19
1,35,65.5133,18
1,19,65.575697,12
1,80,65.858854,34
1,35,65.983874,15
1,35,66.093344,17
1,34,66.218212,16
1,44,66.374474,24
1,40,66.515152,21
1,31,66.60891,17
1,55,66.812027,26
1,66,67.0464,29
1,21,67.110339,11
1,103,67.46974,35
1,61,67.688499,24
1,28,67.782277,18
1,46,67.954365,21
1,40,68.094832,16
1,60,68.297982,20
1,54,68.486668,17
1,75,68.75257,24
1,29,68.86207,15
1,22,68.940098,13
1,20,69.018372,11
1,23,69.096371,17
1,39,69.237022,18
1,24,69.315862,17
1,33,69.44012,16
1,22,69.518341,16
1,30,69.627635,15
1,33,69.737055,23
1,69,69.988544,22
1,22,70.066685,9
1,28,70.160523,18
1,47,70.332317,19
1,33,70.457361,15
1,33,70.566716,18
1,25,70.660475,11
1,24,70.739847,17
1,30,70.84949,14
1,28,70.958938,10
1,50,71.130503,22
1,47,71.303862,17
1,22,71.397578,12
1,31,71.507003,13
1,20,71.569464,10
1,27,71.678901,13
1,48,71.850738,20
1,20,71.928914,13
1,25,74.023623,12
1,28,74.117381,9
1,35,74.24239,13
1,24,74.320521,15
1,21,74.398652,19
1,29,74.492409,4
1,34,74.601792,14
1,22,74.679923,12
1,27,74.77368,17
1,20,74.836185,16
1,60,75.054952,24
1,22,75.133083,12
1,28,75.22684,6
1,21,75.289344,18
1,46,75.461232,21
1,21,75.523737,9
1,24,75.617494,9
1,20,75.679999,10
1,34,75.805008,19
1,34,75.914392,11
1,18,75.976897,13
1,37,76.117532,21
1,25,76.195663,12
1,21,76.273794,18
1,25,76.367551,12
1,22,76.445682,17
1,33,76.555065,17
1,53,76.742579,23
1,29,76.836337,11
1,35,76.961346,22
1,19,77.039477,9
1,23,77.117608,15
1,25,77.195739,18
1,35,77.320748,17
1,31,77.430131,14
1,27,77.539515,13
1,29,77.633272,13
1,31,77.742655,21
1,22,77.820786,15
1,30,77.930169,11
1,29,78.039553,13
1,19,78.102057,11
1,20,78.180188,13
1,23,78.258319,16
1,31,78.367702,12
1,24,78.445833,13
1,23,78.539591,14
1,22,78.617722,15
1,37,78.742731,19
1,27,78.836488,14
1,26,78.9314,12
1,20,79.009531,16
1,34,79.118914,14
1,29,79.228297,13
1,29,79.33768,19
1,26,79.431437,20
1,34,79.540821,18
1,29,79.650204,18
1,23,79.728335,10
1,48,79.900223,22
1,18,79.962728,13
1,19,80.040859,16
1,27,80.134616,18
1,40,80.275251,10
1,25,80.369009,13
1,28,80.478392,16
1,35,80.603401,16
1,33,80.715186,19
1,37,80.855822,13
1,26,80.949579,19
1,18,81.012083,9
1,21,81.090214,12
1,22,81.168345,9
1,24,83.263347,15
1,26,83.357114,11
1,22,83.435245,12
1,30,83.529002,18
1,26,83.622759,11
1,20,83.685264,16
1,26,83.779021,15
1,26,83.872778,16
1,21,83.935283,11
1,36,84.060292,15
1,22,84.138423,17
1,30,84.247806,17
1,22,84.325938,16
1,22,84.388442,15
1,22,84.466573,13
1,23,84.544704,13
1,18,84.607209,13
1,22,84.685339,13
1,32,84.794723,14
1,20,84.872854,15
1,86,85.169751,24
1,21,85.247882,10
1,23,85.326013,11
1,25,85.404144,14
1,27,85.497901,18
1,20,85.576032,16
1,22,85.654163,11
1,24,85.732294,14
1,32,85.841677,21
1,21,85.919808,14
1,28,86.013565,17
1,37,86.154201,15
1,32,86.263584,22
1,20,86.341715,13
1,29,86.435472,16
1,29,86.544855,11
1,42,86.685491,15
1,30,86.794874,11
1,29,86.904258,14
1,22,86.982389,12
1,23,87.060519,12
1,30,87.169903,17
1,24,87.248034,14
1,21,87.326165,13
1,35,87.451174,15
1,26,87.546127,18
1,24,87.624258,16
1,24,87.702389,19
1,30,87.811772,16
1,35,87.936782,24
1,38,88.077417,19
1,62,88.296184,20
1,40,88.43682,20
1,30,88.546203,17
1,38,88.671212,16
1,22,88.764969,13
1,20,88.827474,11
1,50,89.014988,21
1,31,89.124372,15
1,23,89.202503,19
1,50,89.374391,21
1,23,89.468148,13
1,25,89.553638,15
1,24,89.647395,9
1,18,89.7099,15
1,36,89.834909,19
1,32,89.959919,16
1,22,90.03805,16
1,29,90.131807,15
1,24,90.225564,13
1,25,90.320793,14
1,32,90.430176,21
1,22,92.511396,17
1,21,92.589792,4
1,28,92.683552,20
1,18,92.746233,17
1,20,92.808559,12
1,22,92.886693,12
1,19,92.949233,14
1,51,93.136703,19
1,18,93.183586,5
1,26,93.277344,18
1,22,93.355501,12
1,25,93.449281,14
1,23,93.527366,13
1,28,93.621271,12
1,29,93.73053,15
1,22,93.808721,12
1,22,93.873381,10
1,24,93.967523,12
1,23,94.045753,17
1,29,94.154922,12
1,23,94.233342,13
1,30,94.342543,16
1,19,94.404939,11
1,22,94.483126,12
1,28,94.576818,13
1,25,94.670588,15
1,23,94.748716,12
1,20,94.82658,12
1,23,94.904975,12
1,20,94.983161,12
1,62,95.201869,24
1,20,95.264425,13
1,20,95.342509,14
1,23,95.42064,15
1,24,95.514405,12
1,31,95.629872,12
1,22,95.708002,15
1,24,95.786169,17
1,19,95.848658,4
1,22,95.926764,12
1,27,96.035895,21
1,47,96.192435,21
1,19,96.254915,14
1,19,96.333103,7
1,33,96.442426,18
1,29,96.551816,18
1,33,96.66125,13
1,25,96.754956,18
1,27,96.848709,12
1,21,96.926844,19
1,26,97.020593,13
1,32,97.129987,13
1,19,97.192505,10
1,24,97.286305,16
1,29,97.39563,15
1,24,97.473761,16
1,20,97.551897,14
1,25,97.630023,15
1,23,97.723783,13
1,20,97.786387,14
1,37,97.926912,22
1,24,98.005044,15
1,33,98.131742,14
1,23,98.209871,11
1,27,98.303629,17
1,18,98.366192,15
1,23,98.459893,15
1,21,98.538018,14
1,23,98.616319,13
1,24,98.709913,19
1,29,98.803701,16
1,21,98.881799,13
1,24,98.975567,14
1,18,99.038218,16
1,21,99.116327,14
1,43,99.2725,16
1,22,99.350582,11
1,20,99.428718,11
1,21,99.506845,12
1,24,99.584977,12
1,21,99.663153,17
1,23,101.773641,17
1,18,101.836147,10
1,28,101.930225,19
1,22,101.992671,12
1,31,102.10205,14
1,22,102.180227,14
1,23,102.258364,17
1,25,102.336612,11
1,32,102.445826,15
1,20,102.508412,5
1,23,102.586474,12
1,21,102.664826,10
1,21,102.727159,14
1,20,102.789613,9
1,28,102.883372,14
1,25,102.977163,12
1,26,103.072051,16
1,20,103.134812,13
1,24,103.22866,15
1,28,103.322376,9
1,20,103.384831,12
1,26,103.478622,18
1,20,103.541097,17
1,23,103.634848,15
1,22,103.712982,12
1,19,103.775502,9
1,22,103.853622,13
1,19,103.917391,10
1,26,104.011435,11
1,21,104.073907,13
1,23,104.167674,13
1,26,104.245798,17
1,23,104.339559,15
1,22,104.417676,15
1,19,104.480237,10
1,20,104.542781,13
1,21,104.620824,15
1,22,104.698956,13
1,21,104.777087,11
1,20,104.839643,16
1,22,104.917731,17
1,25,105.011502,12
1,19,105.073988,11
1,24,105.167741,11
1,26,105.261639,11
1,24,105.339765,10
1,23,105.417766,13
1,19,105.495885,11
1,22,105.574023,9
1,24,105.652212,14
1,22,105.730344,15
1,24,105.824042,16
1,19,105.888012,8
1,33,105.997461,18
1,21,106.075626,12
1,24,106.169335,16
1,34,106.278694,12
1,23,106.372441,16
1,19,106.434929,11
1,22,106.513059,9
1,24,106.606823,9
1,23,106.684947,16
1,21,106.763087,12
1,20,106.825884,15
1,23,106.903713,11
1,23,106.997524,14
1,20,107.05998,8
1,18,107.12248,7
1,20,107.200673,12
1,18,107.263124,13
1,19,107.325752,17
1,21,107.40376,14
1,18,107.466321,14
1,21,107.544408,9
1,28,107.653773,14
1,20,107.716327,8
1,21,107.794415,16
1,30,107.903798,19
1,18,107.96634,13
1,23,108.044446,16
1,26,108.155345,13
1,23,108.233363,11
1,19,108.295832,11
1,23,108.389592,19
1,25,108.46772,10
1,27,108.577104,13
1,18,108.639651,11
1,18,108.702105,5
1,20,108.780288,14
1,27,108.875469,18
1,29,111.001466,13
1,22,111.079597,13
1,20,111.142411,16
1,24,111.236118,13
1,19,111.298647,15
1,18,111.345514,10
1,20,111.423698,15
1,21,111.486144,14
1,23,111.564421,15
1,20,111.642456,13
1,19,111.704909,14
1,22,111.782784,16
1,30,111.87679,17
1,23,111.954929,16
1,30,112.048775,19
1,19,112.126828,14
1,19,112.189367,15
1,21,112.267461,17
1,20,112.329959,16
1,18,112.392597,14
1,18,112.454959,11
1,19,112.517479,11
1,18,112.579975,15
1,18,112.642492,8
1,23,112.720355,12
1,21,112.798738,10
1,20,112.861291,13
1,29,112.970716,13
1,30,113.081481,15
1,20,113.143923,17
1,19,113.206476,15
1,23,113.284714,11
1,18,113.362797,17
1,22,113.425199,18
1,18,113.487808,13
1,23,113.58147,13
1,22,113.659592,13
1,22,113.737727,12
1,20,113.800267,12
1,22,113.878405,16
1,18,113.940609,13
1,22,114.018989,15
1,21,114.097122,13
1,25,114.19088,14
1,23,114.269016,15
1,21,114.347138,6
1,23,114.425313,13
1,25,114.503152,12
1,23,114.597163,14
1,18,114.659678,8
1,24,114.737799,14
1,18,114.80035,13
1,21,114.878622,11
1,22,114.956568,15
1,20,115.03479,15
1,21,115.097208,16
1,24,115.190953,12
1,27,115.284786,11
1,23,115.362851,11
1,19,115.440979,13
1,21,115.503495,13
1,25,115.597279,12
1,22,115.675415,13
1,20,115.753246,11
1,23,115.831778,9
1,19,115.89413,13
1,18,115.956734,12
1,22,116.034775,19
1,22,116.112905,15
1,22,116.191037,9
1,18,116.268997,17
1,25,116.347338,7
1,19,116.425473,14
1,21,116.487937,10
1,21,116.566065,18
1,18,116.628568,11
1,26,116.722373,15
1,57,116.925507,20
1,23,117.019226,15
1,24,117.097399,16
1,18,117.159852,12
1,21,117.237991,11
1,21,117.316113,14
1,19,117.378842,13
1,33,117.50377,15
1,20,117.581818,16
1,20,117.644315,8
1,21,117.722437,11
1,22,117.800562,17
1,21,117.878667,15
1,18,117.941161,12
1,21,118.019447,11
1,29,118.128676,13
1,27,120.253577,17
1,22,120.333444,18
1,23,120.411575,17
1,23,120.489972,15
1,22,120.552517,17
1,21,120.630611,11
1,21,120.708848,14
1,18,120.755662,14
1,20,120.833784,10
1,24,120.911882,5
1,29,121.005689,17
1,22,121.083792,16
1,19,121.146272,6
1,20,121.208785,16
1,27,121.302554,11
1,26,121.396331,14
1,22,121.474466,15
1,21,121.552592,12
1,20,121.615049,17
1,21,121.693189,11
1,21,121.755427,11
1,21,121.833851,15
1,20,121.911947,11
1,24,121.990084,10
1,22,122.068217,18
1,23,122.146496,12
1,20,122.208894,16
1,22,122.286975,18
1,18,122.349528,15
1,18,122.427621,12
1,19,122.491249,10
1,23,122.569652,15
1,27,122.663448,13
1,18,122.725902,14
1,22,122.804046,14
1,26,122.897866,18
1,20,122.960358,11
1,23,123.054055,15
1,20,123.116565,15
1,25,123.21036,15
1,21,123.272853,9
1,24,123.366588,14
1,25,123.444717,17
1,19,123.522837,17
1,23,123.600975,9
1,22,123.679105,10
1,24,123.757234,13
1,25,123.852129,14
1,22,123.930578,15
1,20,124.008892,9
1,21,124.071164,17
1,26,124.164918,17
1,22,124.243049,16
1,20,124.321176,15
1,20,124.383829,18
1,22,124.461824,16
1,23,124.555678,12
1,29,124.649369,18
1,21,124.7275,18
1,20,124.805637,9
1,23,124.88372,12
1,21,124.961859,10
1,18,125.024398,5
1,19,125.086609,7
1,23,125.165045,5
1,18,125.227538,12
1,20,125.305893,14
1,22,125.383841,15
1,18,125.446269,14
1,20,125.52446,15
1,23,125.602594,21
1,19,125.665034,11
1,23,125.758793,12
1,26,125.852586,17
1,18,125.915045,12
1,23,125.992928,12
1,22,126.072566,13
1,23,126.150956,13
1,20,126.229081,11
1,22,126.307216,15
1,20,126.385383,14
1,18,126.447851,16
1,21,126.5261,15
1,20,126.588535,17
1,25,126.682245,18
1,22,126.760421,12
1,18,126.822991,13
1,20,126.901011,5
1,20,126.979137,18
1,18,127.04193,11
1,18,127.103894,17
1,22,127.182282,12
1,20,127.260572,12
1,18,127.32292,17
1,31,127.432309,22
1,23,129.542873,14
1,22,129.62127,14
1,28,129.715019,15
1,20,129.774914,17
1,19,129.837683,12
1,29,129.947074,10
1,21,130.009691,6
1,22,130.087698,15
1,18,130.150205,14
1,18,130.212712,8
1,21,130.275215,12
1,18,130.337902,14
1,28,130.431517,15
1,19,130.509636,14
1,20,130.572118,8
1,23,130.650244,10
1,19,130.712776,13
1,20,130.790627,18
1,25,130.869007,9
1,18,130.933076,5
1,18,130.995639,12
1,21,131.073703,16
1,21,131.151923,16
1,19,131.214348,17
1,20,131.276904,9
1,20,131.354975,16
1,20,131.417522,7
1,20,131.495691,13
1,21,131.57377,12
1,23,131.651896,8
1,18,131.714431,10
1,18,131.776624,10
1,20,131.839137,11
1,23,131.932894,9
1,20,131.995664,13
1,21,132.073789,16
1,20,132.136292,14
1,20,132.214467,13
1,21,132.292598,15
1,26,132.370717,18
1,18,132.448818,11
1,22,132.511312,14
1,20,132.589507,11
1,20,132.667627,8
1,21,132.730078,10
1,26,132.82388,13
1,25,132.917696,21
1,29,133.026979,19
1,20,133.090482,13
1,20,133.169005,14
1,18,133.231539,14
1,18,133.295224,14
1,24,133.373722,9
1,25,133.467362,11
1,18,133.529867,13
1,23,133.607996,16
1,23,133.686131,11
1,20,133.764263,17
1,23,133.842575,15
1,31,133.951908,15
1,22,134.030061,11
1,24,134.123666,13
1,18,134.186173,13
1,22,134.264301,17
1,19,134.326979,12
1,20,134.404995,15
1,23,134.483072,15
1,20,134.561201,12
1,19,134.623722,13
1,18,134.686211,12
1,21,134.764335,12
1,27,134.858099,16
1,18,134.920661,16
1,28,135.029984,9
1,25,135.124019,14
1,24,135.201925,15
1,23,135.280005,17
1,18,135.344831,11
1,20,135.422941,15
1,19,135.485363,13
1,22,135.563545,4
1,18,135.641673,12
1,24,135.719787,13
1,23,135.797888,9
1,21,135.876099,13
1,18,135.939876,15
1,29,136.049552,18
1,25,136.143275,14
1,18,136.205925,8
1,18,136.268286,6
1,25,136.36204,17
1,20,136.440167,11
1,30,136.549592,4
1,23,136.629382,17
1,24,136.723142,9
1,20,138.817911,13
1,21,138.896051,16
1,22,138.975865,13
1,18,139.038372,14
1,22,139.10094,13
1,19,139.179003,8
1,18,139.241559,7
1,21,139.304012,12
1,20,139.382143,11
1,25,139.460288,13
1,19,139.523034,9
1,18,139.585292,11
1,23,139.663428,15
1,19,139.725958,13
1,22,139.804053,15
1,18,139.866608,7
1,19,139.929062,10
1,20,140.007195,13
1,20,140.069836,13
1,18,140.132206,10
1,23,140.21033,6
1,22,140.288512,9
1,23,140.366645,18
1,20,140.444766,14
1,21,140.523013,10
1,18,140.585362,16
1,24,140.663554,13
1,19,140.726001,15
1,18,140.788546,16
1,18,140.851109,17
1,20,140.930347,15
1,23,141.008759,9
1,23,141.086971,13
1,18,141.149125,13
1,19,141.212021,8
1,27,141.3057,12
1,19,141.38379,17
1,18,141.446271,17
1,22,141.52442,14
1,20,141.587025,10
1,18,141.649424,13
1,24,141.74317,11
1,18,141.805424,13
1,18,141.86793,12
1,20,141.930784,3
1,23,142.024445,13
1,22,142.102623,11
1,22,142.180759,9
1,21,142.243215,17
1,19,142.321341,6
1,18,142.385639,15
1,18,142.448094,1
1,20,142.510652,5
1,20,142.588756,15
1,20,142.651242,14
1,20,142.729376,12
1,23,142.807547,10
1,20,142.885677,13
1,19,142.948144,9
1,20,143.026271,12
1,23,143.1044,16
1,24,143.182578,14
1,20,143.260705,14
1,19,143.323162,9
1,18,143.385715,13
1,20,143.463817,13
1,18,143.526298,9
1,19,143.588817,10
1,18,143.666996,16
1,20,143.729442,10
1,20,143.807613,11
1,24,143.885765,11
1,20,143.956518,16
1,20,144.034916,13
1,19,144.097409,7
1,18,144.160011,10
1,20,144.238048,8
1,18,144.300704,13
1,18,144.363123,13
1,18,144.425602,7
1,23,144.51932,17
1,21,144.582114,14
1,18,144.660013,16
1,20,144.722456,11
1,22,144.800631,11
1,18,144.863163,10
1,23,144.956851,12
1,22,145.035069,3
1,20,145.097478,14
1,22,145.175661,17
1,23,145.269367,7
1,18,145.331884,13
1,19,145.394383,13
1,20,145.472781,12
1,21,145.550689,17
1,18,145.613156,15
1,18,145.675701,4
1,18,145.738161,16
1,18,145.816282,15
1,25,145.894421,9
1,22,145.974124,14
1,20,148.065088,16
1,19,148.127593,14
1,18,148.190365,10
1,18,148.252873,13
1,22,148.331029,9
1,22,148.410704,11
1,23,148.488801,16
1,18,148.551275,13
1,18,148.613929,13
1,19,148.676285,9
1,20,148.738811,10
1,19,148.801297,7
1,18,148.865724,17
1,19,148.92816,15
1,20,149.006178,16
1,18,149.068727,13
1,20,149.131198,6
1,18,149.193737,10
1,20,149.271834,13
1,22,149.334318,10
1,24,149.428097,12
1,21,149.49076,9
1,23,149.584347,10
1,19,149.646888,13
1,22,149.725105,12
1,24,149.803124,7
1,18,149.865673,14
1,21,149.943791,14
1,20,150.006266,13
1,18,150.06882,14
1,24,150.162534,10
1,25,150.240699,10
1,20,150.318833,13
1,19,150.381283,14
1,21,150.459414,14
1,21,150.52194,10
1,20,150.600196,10
1,18,150.66261,14
1,27,150.75632,10
1,22,150.834451,13
1,22,150.913637,14
1,22,150.992185,11
1,30,151.101615,10
1,18,151.16407,12
1,18,151.226623,11
1,20,151.289082,17
1,19,151.367239,11
1,18,151.429842,11
1,19,151.492219,14
1,26,151.586172,13
1,26,151.679783,12
1,19,151.742235,12
1,20,151.82038,14
1,19,151.882622,7
1,19,151.945382,10
1,22,152.023509,14
1,23,152.117271,11
1,23,152.195402,8
1,18,152.258662,10
1,19,152.322497,12
1,20,152.400374,5
1,18,152.462879,12
1,20,152.54101,4
1,21,152.603819,12
1,19,152.681904,9
1,18,152.744399,6
1,25,152.822542,9
1,19,152.900725,9
1,20,152.965124,11
1,18,153.027532,4
1,19,153.10571,11
1,18,153.168176,9
1,18,153.230825,10
1,19,153.293183,14
1,21,153.371048,6
1,21,153.449448,14
1,22,153.527638,14
1,23,153.605743,11
1,22,153.683855,7
1,20,153.762098,8
1,19,153.824474,7
1,20,153.902348,13
1,23,153.982141,7
1,22,154.060264,12
1,23,154.138403,14
1,22,154.216526,13
1,21,154.294714,9
1,20,154.372909,10
1,22,154.450933,11
1,18,154.513432,12
1,18,154.575936,14
1,20,154.654366,8
1,19,154.716576,14
1,19,154.794739,3
1,20,154.857208,7
1,23,154.951111,10
1,18,155.013472,15
1,20,155.091599,8
1,20,155.15421,12
1,22,155.247864,14
1,22,157.342708,8
1,22,157.420839,15
1,23,157.483353,10
1,18,157.545858,9
1,18,157.608362,13
1,34,157.733372,13
1,27,157.811503,7
1,28,157.90526,19
1,19,157.983391,11
1,22,158.061522,13
1,20,158.124027,11
1,18,158.187643,13
1,22,158.265785,7
1,22,158.343915,11
1,21,158.40642,6
1,22,158.484551,13
1,19,158.547056,17
1,20,158.625187,13
1,20,158.687692,13
1,22,158.763283,7
1,20,158.841414,16
1,19,158.903919,12
1,18,158.966424,13
1,20,159.028928,14
1,18,159.091433,13
1,20,159.169564,10
1,18,159.232069,16
1,22,159.310199,14
1,18,159.372704,14
1,22,159.450835,7
1,18,159.51334,10
1,19,159.575845,13
1,22,159.653976,15
1,18,159.71648,17
1,24,159.794611,14
1,20,159.872742,14
1,20,159.935247,16
1,18,159.997752,12
1,22,160.075882,6
1,24,160.16964,16
1,29,160.263397,12
1,20,160.341528,14
1,18,160.404032,15
1,20,160.482163,14
1,18,160.544668,15
1,19,160.607173,17
1,21,160.685303,8
1,20,160.747808,9
1,34,160.872818,20
1,25,160.967686,14
1,22,161.031434,13
1,18,161.109565,11
1,23,161.187696,14
1,18,161.250201,14
1,18,161.312705,17
1,19,161.37521,14
1,20,161.453341,14
1,23,161.531472,10
1,20,161.593976,10
1,18,161.672107,14
1,20,161.734612,13
1,22,161.812743,8
1,20,161.890874,10
1,18,161.953379,15
1,23,162.031509,16
1,27,162.125267,13
1,22,162.203398,12
1,18,162.265902,13
1,18,162.328407,10
1,18,162.390912,14
1,25,162.486388,13
1,19,162.548904,10
1,22,162.627035,17
1,22,162.705166,18
1,19,162.783297,10
1,19,162.845801,15
1,20,162.923932,16
1,18,162.986437,14
1,20,163.048942,11
1,18,163.127073,15
1,18,163.189578,14
1,25,163.267708,15
1,30,163.377092,7
1,19,163.455223,15
1,19,163.517727,11
1,21,163.595858,14
1,22,163.673989,10
1,18,163.736494,11
1,20,163.814625,17
1,20,163.87713,14
1,18,163.939634,15
1,21,164.017765,14
1,24,164.111522,5
1,21,164.189652,10
1,18,164.252158,14
1,21,164.330289,16
1,18,164.392794,4
